week,date,icon,emoji,name,description,hashtags,comment,url
24,2021/06/20,father,ğŸ‘¨â€ğŸ‘§â€ğŸ‘¦,Father's Day,Father's Day is on June 20. A post is encouraged for most of your customers â€“ just be sure to follow our guidelines while creating a post to ensure your content is customer-specific and relevant. ,#fathersday,"Many businesses have already started promoting their products and services for Father's Day. If reservations or shipping times are concern, be sure to post promotions in advance of the holiday.",https://msh-success.atlassian.net/wiki/spaces/KnowledgeBase/pages/2260730256/Father%2Bs%2BDay%2B2021
24,2021/06/20,sun,â˜€ï¸,First Day of Summer,"In 2021, the June solstice occurs on Sunday, June 20, marking the start of summer in the Northern Hemisphere. The exact date and time of the solstice is Sunday, June 20, at 11:32 P.M. EDT.",,,
24,2021/06/21,camera,ğŸ“¸,National Selfie Day,"Grab your phone or camera, National Selfie Day is just what it sounds like! ",,"Ask followers to snap a selfie at the business, restaurant, or even with their pet. Be sure to tailor the engagement question to be relevant to the customer's products or services.",
24,2021/06/21,sunrise,ğŸŒ…,Summer Solstice,June 21 is the longest day of the year.,,This is another opportunity to encourage some interaction and audience engagement. Ask your audience how they plan to make the best of those extra few hours of sunshine!,
24,2021/06/22,cool,ğŸ†’,National HVAC Tech Day,"Founded in 2016 by HVAC company ARS/Rescue Rooter, this day is to show appreciation for all HVAC technicians in the industry. ",#HVACTech,,
24,2021/06/26,biking,ğŸš´â€â™‚ï¸,Tour de France begins,"The Tour de France is an annual men's multiple stage bicycle race primarily held in France, while also occasionally passing through nearby countries. Like the other Grand Tours, it consists of 21 day-long stages over the course of 23 days. This year's event runs from June 26 - July 18.",,"If posting about the Tour de France, be sure to make a clear connection to your customer. Does your Realtor work in or near a community that values the outdoors or outdoor activities? Maybe there's even tourism drawn to the area for that exact reason.  The Tour de France allows a fun, tongue-in-cheek way to highlight local bike routes, bike shops, or bike repair businesses.",
25,2021/06/21,music,ğŸµ,World Music Day,"This day encourages both amateur and professional musicians alike to showcase their work. Also called FÃªte de la Musique, the yearly celebration started in 1982 and was created by the French Minister of Culture Jack Lang.",#WorldMusicDay,,
25,2021/06/24,handshake,ğŸ¤,National Handshake Day,Pleaseâ€¦no wet fish! National Handshake Day is in honor of the classic greeting and the many different styles it takes. It has been acknowledged since 2005 when it was created by Miryam Roddy on behalf of BRODY Professional Development.,#HandshakeDay,,
25,2021/06/25,dog,ğŸ¶,Take Your Dog to Work Day,This day honors our friends and encourages us to take our dogs in to work where possible. The day to celebrate our companions began in 1999 and is a great way to support and build new bridges with fellow workers.,#TakeYourDogToWorkDay,,
26,2021/07/04,flag-usa,ğŸ‡ºğŸ‡¸,Independence Day,"Independence Day, also called Fourth of July or July 4th, in the United States, the annual celebration of nationhood. It commemorates the passage of the Declaration of Independence by the Continental Congress on July 4, 1776.",#july4 #independenceday,,
26,2021/07/07,chocolate,ğŸ«,World Chocolate Day,"The observance of World Chocolate Day dates back to 2009, and some suggest July 7 in particular celebrates the introduction of chocolate to Europe in 1550. We donâ€™t need to tell you what to do to celebrate this day, do we?",#worldchocolateday,,
26,2021/07/11,smile,ğŸ˜Š,National Cheer Up the Lonely Day,"Each year on July 11th, people across the United States make a special effort to give someone a lift on National Cheer Up the Lonely Day. If you know someone who is lonely or going through a difficult time, be a bright spot in their life with a little extra thoughtfulness today.",#CheerUpTheLonelyDay,,
27,2021/07/14,flag-france,ğŸ‡«ğŸ‡·,Bastille Day,"Primarily a holiday in France to commemorate the 1789 storming of the Bastille in Paris, Bastille Day is also celebrated in various US cities â€“ such as New Orleans â€“ as well as Canada.",#BastilleDay,,
27,2021/07/15,wave,ğŸ‘‹,Give Something Away Day,"Give Something Away Day is a day to give something to someone. It can be a basic necessity like shoes or clothing, or something simple like flowers or a balloon. Give Something Away Day is a day to pay it forward and do something nice for someone.",#GiveSomethingAwayDay,,
27,2021/07/15,speech,ğŸ’¬,Get to Know Your Customers Day,"Observed annually each quarter, itâ€™s a way for businesses of all sizes to get to know their customers by name, understand their shopping habits, and make them feel important.",#GetToKnowYourCustomersDay,,